Error,Predicton,Target,Word,Correction,ErrorType
মড়া,ণষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ম__া,মরা,0,Homonym Error
সাহিত্যে,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,সা___্__,সাক্ষর,0,Homonym Error
আভরণ,ণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণ,আ_রণ,আবরণ,0,Homonym Error
টেক্কা,ণণণষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,টেক_কা,টেকা,0,Homonym Error
জীব,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,জ_ব,জিব,0,Homonym Error
আভাস,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,আ_াস,আবাস,0,Homonym Error
বাড়ি,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,বা__ি,বারি,0,Homonym Error
আধি,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,আ_ি,আদি,0,Homonym Error
ভাসন,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ভা__,ভাষণ,0,Homonym Error
অপরিণীত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অপরিণ__,অপরিণত,0,Homonym Error
অনিষ্ঠ,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঐঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,অনিষ্_,অনিষ্ট,0,Homonym Error
স্বীকার,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,____কার,শিকার,0,Homonym Error
নীড়,ষোোোষষষষষষষোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোো,নী__,নীর,0,Homonym Error
ছাড়,োোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোো,ছা__,ছার,0,Homonym Error
চাস,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,চা_,চাষ,0,Homonym Error
পলক,ণণণণণণণণণণণণণণণণণণণণণণঐণঐণঐণঐণঐণঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐ,প_ক,পালক,0,Homonym Error
কাঁটা,ইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইই,কা_টা,কাটা,0,Homonym Error
গাঁ,ঔইইইইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔই,গা_,গা,0,Homonym Error
অন্ত্য,ঔঐঐঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঐঋঐঋঋঐঋঋঋঋঋঋঐঋঋঐঋঋঋ,অন্_্_,অন্ত,0,Homonym Error
অবগত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অ_গত,অপগত,0,Homonym Error
আসা,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,আ_া,আশা,0,Homonym Error
চুত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,চ_ত,চ্যুত,0,Homonym Error
হূতি,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,হ_তি,হুতি,0,Homonym Error
প্রাসাদ,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,প্র_সাদ,প্রসাদ,0,Homonym Error
উপাধান,ঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐঐঐষঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,উপা_ান,উপাদান,0,Homonym Error
প্রধান,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,প্র_ান,প্রদান,0,Homonym Error
রোচক,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,র_চক,রচক,0,Homonym Error
